"SeqNo","smpl.loc","seq.rd.cnt","blast_unfilt_class","blast_unfilt_order","blast_unfilt_fam","blast_unfilt_genus","blast_unfilt_genus_species","blast_filt_class","blast_filt_order","blast_filt_fam","blast_filt_genus","blast_filt_genus_species","blast_unfilt_class_ord_fam_gen_spc","blast_filt_class_ord_fam_gen_spc","col_filt_fam","col_unfilt_fam","col_filt_gen_spc","col_unfilt_gen_spc","col_filt_fam_mock","col_filt_gen_spc_mock","col_unfilt_fam_mock","col_unfilt_gen_spc_mock"
"seq483","MST107_MiFiU_tag45",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq483","MST107_MiFiU_tag46",6,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq483","MST109_MiFiU_tag47",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq483","MST109_MiFiU_tag48",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq483","MST110_MiFiU_tag49",30,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq483","MST110_MiFiU_tag50",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq483","MST221_MiFiU_tag51",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq483","MST221_MiFiU_tag52",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq483","MST235_MiFiU_tag53",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq483","MST235_MiFiU_tag54",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq483","PCMock_MiFiU_tag56",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq899","MST107_MiFiU_tag45",1,"Actinomycetia","Acidothermales","Acidothermaceae","Acidothermus","Acidothermus cellulolyticus","none","none","none","none","none","Actinomycetia_Acidothermales_Acidothermaceae_Acidothermus cellulolyticus","none_none_none_none","#000004FF","#010108FF","#000004","#010108","#8B0000","#8B0000","#8B0000","#8B0000"
"seq899","MST107_MiFiU_tag46",9,"Actinomycetia","Acidothermales","Acidothermaceae","Acidothermus","Acidothermus cellulolyticus","none","none","none","none","none","Actinomycetia_Acidothermales_Acidothermaceae_Acidothermus cellulolyticus","none_none_none_none","#000004FF","#010108FF","#000004","#010108","#8B0000","#8B0000","#8B0000","#8B0000"
"seq899","MST109_MiFiU_tag47",1,"Actinomycetia","Acidothermales","Acidothermaceae","Acidothermus","Acidothermus cellulolyticus","none","none","none","none","none","Actinomycetia_Acidothermales_Acidothermaceae_Acidothermus cellulolyticus","none_none_none_none","#000004FF","#010108FF","#000004","#010108","#8B0000","#8B0000","#8B0000","#8B0000"
"seq899","MST109_MiFiU_tag48",1,"Actinomycetia","Acidothermales","Acidothermaceae","Acidothermus","Acidothermus cellulolyticus","none","none","none","none","none","Actinomycetia_Acidothermales_Acidothermaceae_Acidothermus cellulolyticus","none_none_none_none","#000004FF","#010108FF","#000004","#010108","#8B0000","#8B0000","#8B0000","#8B0000"
"seq899","MST110_MiFiU_tag49",1,"Actinomycetia","Acidothermales","Acidothermaceae","Acidothermus","Acidothermus cellulolyticus","none","none","none","none","none","Actinomycetia_Acidothermales_Acidothermaceae_Acidothermus cellulolyticus","none_none_none_none","#000004FF","#010108FF","#000004","#010108","#8B0000","#8B0000","#8B0000","#8B0000"
"seq899","MST110_MiFiU_tag50",1,"Actinomycetia","Acidothermales","Acidothermaceae","Acidothermus","Acidothermus cellulolyticus","none","none","none","none","none","Actinomycetia_Acidothermales_Acidothermaceae_Acidothermus cellulolyticus","none_none_none_none","#000004FF","#010108FF","#000004","#010108","#8B0000","#8B0000","#8B0000","#8B0000"
"seq899","MST221_MiFiU_tag51",1,"Actinomycetia","Acidothermales","Acidothermaceae","Acidothermus","Acidothermus cellulolyticus","none","none","none","none","none","Actinomycetia_Acidothermales_Acidothermaceae_Acidothermus cellulolyticus","none_none_none_none","#000004FF","#010108FF","#000004","#010108","#8B0000","#8B0000","#8B0000","#8B0000"
"seq899","MST221_MiFiU_tag52",1,"Actinomycetia","Acidothermales","Acidothermaceae","Acidothermus","Acidothermus cellulolyticus","none","none","none","none","none","Actinomycetia_Acidothermales_Acidothermaceae_Acidothermus cellulolyticus","none_none_none_none","#000004FF","#010108FF","#000004","#010108","#8B0000","#8B0000","#8B0000","#8B0000"
"seq899","MST235_MiFiU_tag53",1,"Actinomycetia","Acidothermales","Acidothermaceae","Acidothermus","Acidothermus cellulolyticus","none","none","none","none","none","Actinomycetia_Acidothermales_Acidothermaceae_Acidothermus cellulolyticus","none_none_none_none","#000004FF","#010108FF","#000004","#010108","#8B0000","#8B0000","#8B0000","#8B0000"
"seq899","MST235_MiFiU_tag54",1,"Actinomycetia","Acidothermales","Acidothermaceae","Acidothermus","Acidothermus cellulolyticus","none","none","none","none","none","Actinomycetia_Acidothermales_Acidothermaceae_Acidothermus cellulolyticus","none_none_none_none","#000004FF","#010108FF","#000004","#010108","#8B0000","#8B0000","#8B0000","#8B0000"
